,ReleaseDate,TaxID,ScientificName,species_tax_id,class_tax_id,strain_tax_id,species,LibraryLayout,Platform,Model,Run,SRAStudy,BioProject,ProjectID,Sample,BioSample,Submission,LibraryStrategy,LibrarySelection,LibrarySource,Body_Site,CenterName,InsertSize,InsertDev,SRA ID,GEO Series,GEO Sample,PMID,Biosample ID,biosample_strain,biosample_genotype,reference_sequence,project_name,condition_name,reference_sample,post_induction_time,replicate_id,strain_description,base_media,carbon_source,nitrogen_source,inducer_agent,aerobicity,inoculation,supplement,temperature,pH,growth_phase,entraintment_cycles,entraintment_period_per_cycle,OD_wavelength,OD,light_condition,light_intensity ,submission,publication,notes,passed_fastqc,passed_pct_reads_mapped,passed_reads_mapped_to_CDS,passed_global_correlation,Unnamed: 62,Unnamed: 63,Unnamed: 64,full_name,passed_similar_replicates
SRX259787,2015-07-22 17:03:15,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR807406,SRP020509,PRJNA196229,196229,SRS408063,SAMN01999010,SRA072537,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,364635,GSE45762,GSM1113870,23919451.0,1999010,SE01,aas-,"NC_007604.fna for the S. elongatus PCC 7942 chromosome, NC_007595.fna for plasmid 1, and NC_004990.fna for pUH24.",FFA,aas-_240h,wt_100h,240h,2.0,mutant_del_aas(acyl-ACP Synthase),solid BG-11/agar ,CO2,,0.1 M IPTG,aerobic,40 µg/mL of spectinomycin,1 mM sodium thiosulfate,30 C,,,,,750,0.15,alternating cool white and plant fluorescent lights,60 _mol photons m-2 s-1,"Bioenergy and Defense Technologies, Sandia National Laboratories","Ruffing AM ""RNA-Seq analysis and targeted mutagenesis for improved free fatty acid production in an engineered cyanobacterium."", Biotechnol Biofuels, 2013 Aug 6;6(1):113",,True,True,True,True,,,,FFA:aas-_240h,True
SRX259788,2015-07-22 17:03:15,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR807407,SRP020509,PRJNA196229,196229,SRS408064,SAMN01999011,SRA072537,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,364636,GSE45762,GSM1113871,23919451.0,1999011,SE01,aas-,"NC_007604.fna for the S. elongatus PCC 7942 chromosome, NC_007595.fna for plasmid 1, and NC_004990.fna for pUH24.",FFA,aas-_240h,wt_100h,240h,3.0,mutant_del_aas(acyl-ACP Synthase),solid BG-11/agar ,CO2,,0.1 M IPTG,aerobic,40 µg/mL of spectinomycin,1 mM sodium thiosulfate,30 C,,,,,750,0.15,alternating cool white and plant fluorescent lights,60 _mol photons m-2 s-1,"Bioenergy and Defense Technologies, Sandia National Laboratories","Ruffing AM ""RNA-Seq analysis and targeted mutagenesis for improved free fatty acid production in an engineered cyanobacterium."", Biotechnol Biofuels, 2013 Aug 6;6(1):113",,True,True,True,True,,,,FFA:aas-_240h,True
SRX259791,2015-07-22 17:03:15,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR807410,SRP020509,PRJNA196229,196229,SRS408067,SAMN01999014,SRA072537,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,364639,GSE45762,GSM1113874,23919451.0,1999014,SE02,aas-_tesA,"NC_007604.fna for the S. elongatus PCC 7942 chromosome, NC_007595.fna for plasmid 1, and NC_004990.fna for pUH24.",FFA,aas-_tesA_240h,wt_100h,240h,1.0,mutant_del_aas(acyl-ACP Synthase)_+thioesterase ,solid BG-11/agar ,CO2,,0.1 M IPTG,aerobic,40 µg/mL of spectinomycin,1 mM sodium thiosulfate,30 C,,,,,750,0.15,alternating cool white and plant fluorescent lights,60 _mol photons m-2 s-1,"Bioenergy and Defense Technologies, Sandia National Laboratories","Ruffing AM ""RNA-Seq analysis and targeted mutagenesis for improved free fatty acid production in an engineered cyanobacterium."", Biotechnol Biofuels, 2013 Aug 6;6(1):113",,True,True,True,True,,,,FFA:aas-_tesA_240h,True
SRX259792,2015-07-22 17:03:15,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR807411,SRP020509,PRJNA196229,196229,SRS408068,SAMN01999015,SRA072537,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,364640,GSE45762,GSM1113875,23919451.0,1999015,SE02,aas-_tesA,"NC_007604.fna for the S. elongatus PCC 7942 chromosome, NC_007595.fna for plasmid 1, and NC_004990.fna for pUH24.",FFA,aas-_tesA_240h,wt_100h,240h,2.0,mutant_del_aas(acyl-ACP Synthase)_+thioesterase ,solid BG-11/agar ,CO2,,0.1 M IPTG,aerobic,40 µg/mL of spectinomycin,1 mM sodium thiosulfate,30 C,,,,,750,0.15,alternating cool white and plant fluorescent lights,60 _mol photons m-2 s-1,"Bioenergy and Defense Technologies, Sandia National Laboratories","Ruffing AM ""RNA-Seq analysis and targeted mutagenesis for improved free fatty acid production in an engineered cyanobacterium."", Biotechnol Biofuels, 2013 Aug 6;6(1):113",,True,True,True,True,,,,FFA:aas-_tesA_240h,True
SRX259793,2015-07-22 17:03:15,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR807412,SRP020509,PRJNA196229,196229,SRS408069,SAMN01999016,SRA072537,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,364641,GSE45762,GSM1113876,23919451.0,1999016,SE02,aas-_tesA,"NC_007604.fna for the S. elongatus PCC 7942 chromosome, NC_007595.fna for plasmid 1, and NC_004990.fna for pUH24.",FFA,aas-_tesA_240h,wt_100h,240h,3.0,mutant_del_aas(acyl-ACP Synthase)_+thioesterase ,solid BG-11/agar ,CO2,,0.1 M IPTG,aerobic,40 µg/mL of spectinomycin,1 mM sodium thiosulfate,30 C,,,,,750,0.15,alternating cool white and plant fluorescent lights,60 _mol photons m-2 s-1,"Bioenergy and Defense Technologies, Sandia National Laboratories","Ruffing AM ""RNA-Seq analysis and targeted mutagenesis for improved free fatty acid production in an engineered cyanobacterium."", Biotechnol Biofuels, 2013 Aug 6;6(1):113",,True,True,True,True,,,,FFA:aas-_tesA_240h,True
SRX2769876,2017-04-29 11:30:14,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina Genome Analyzer IIx,SRR5486975,SRP105449,PRJNA372989,372989,SRS2153429,SAMN06314526,SRA557924,RNA-Seq,RANDOM,TRANSCRIPTOMIC,,JGI,0,0,3993279,,,,6314526,PCC 7942,,,S7-2 (unknown),,,,,,,,,,aerobic,,,,,,,,,,,,,,,True,True,True,True,,,,,True
SRX2769878,2017-04-29 11:17:27,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina Genome Analyzer II,SRR5486977,SRP105449,PRJNA372989,372989,SRS2153429,SAMN06314526,SRA557924,RNA-Seq,RANDOM,TRANSCRIPTOMIC,,JGI,0,0,3993281,,,,6314526,PCC 7942,,,S7-2 (unknown),,,,,,,,,,aerobic,,,,,,,,,,,,,,,True,True,True,True,,,,,True
SRX2769880,2017-04-29 11:17:27,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina Genome Analyzer II,SRR5486979,SRP105449,PRJNA372989,372989,SRS2153429,SAMN06314526,SRA557924,RNA-Seq,RANDOM,TRANSCRIPTOMIC,,JGI,0,0,3993283,,,,6314526,PCC 7942,,,S7-2 (unknown),,,,,,,,,,aerobic,,,,,,,,,,,,,,,True,True,True,True,,,,,True
SRX2769881,2017-04-29 11:20:14,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina Genome Analyzer IIx,SRR5486980,SRP105449,PRJNA372989,372989,SRS2153429,SAMN06314526,SRA557924,RNA-Seq,RANDOM,TRANSCRIPTOMIC,,JGI,0,0,3993284,,,,6314526,PCC 7942,,,S7-2 (unknown),,,,,,,,,,aerobic,,,,,,,,,,,,,,,True,True,True,True,,,,,True
SRX2769883,2017-04-29 11:28:14,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina Genome Analyzer IIx,SRR5486982,SRP105449,PRJNA372989,372989,SRS2153429,SAMN06314526,SRA557924,RNA-Seq,RANDOM,TRANSCRIPTOMIC,,JGI,0,0,3993286,,,,6314526,PCC 7942,,,S7-2 (unknown),,,,,,,,,,aerobic,,,,,,,,,,,,,,,True,True,True,True,,,,,True
SRX2769884,2017-04-29 11:26:14,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina Genome Analyzer IIx,SRR5486983,SRP105449,PRJNA372989,372989,SRS2153429,SAMN06314526,SRA557924,RNA-Seq,RANDOM,TRANSCRIPTOMIC,,JGI,0,0,3993287,,,,6314526,PCC 7942,,,S7-2 (unknown),,,,,,,,,,aerobic,,,,,,,,,,,,,,,True,True,True,True,,,,,True
SRX2769885,2017-04-29 11:28:14,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina Genome Analyzer IIx,SRR5486984,SRP105449,PRJNA372989,372989,SRS2153429,SAMN06314526,SRA557924,RNA-Seq,RANDOM,TRANSCRIPTOMIC,,JGI,0,0,3993288,,,,6314526,PCC 7942,,,S7-2 (unknown),,,,,,,,,,aerobic,,,,,,,,,,,,,,,True,True,True,True,,,,,True
SRX2769886,2017-04-29 11:32:16,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina Genome Analyzer IIx,SRR5486985,SRP105449,PRJNA372989,372989,SRS2153429,SAMN06314526,SRA557924,RNA-Seq,RANDOM,TRANSCRIPTOMIC,,JGI,0,0,3993289,,,,6314526,PCC 7942,,,S7-2 (unknown),,,,,,,,,,aerobic,,,,,,,,,,,,,,,True,True,True,True,,,,,True
SRX2769887,2017-04-29 11:32:16,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina Genome Analyzer IIx,SRR5486986,SRP105449,PRJNA372989,372989,SRS2153429,SAMN06314526,SRA557924,RNA-Seq,RANDOM,TRANSCRIPTOMIC,,JGI,0,0,3993290,,,,6314526,PCC 7942,,,S7-2 (unknown),,,,,,,,,,aerobic,,,,,,,,,,,,,,,True,True,True,True,,,,,True
SRX2769888,2017-04-29 11:30:14,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina Genome Analyzer IIx,SRR5486987,SRP105449,PRJNA372989,372989,SRS2153429,SAMN06314526,SRA557924,RNA-Seq,RANDOM,TRANSCRIPTOMIC,,JGI,0,0,3993291,,,,6314526,PCC 7942,,,S7-2 (unknown),,,,,,,,,,aerobic,,,,,,,,,,,,,,,True,True,True,True,,,,,True
SRX2769889,2017-04-29 11:26:14,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina Genome Analyzer IIx,SRR5486988,SRP105449,PRJNA372989,372989,SRS2153429,SAMN06314526,SRA557924,RNA-Seq,RANDOM,TRANSCRIPTOMIC,,JGI,0,0,3993292,,,,6314526,PCC 7942,,,S7-2 (unknown),,,,,,,,,,aerobic,,,,,,,,,,,,,,,True,True,True,True,,,,,True
SRX2769890,2017-04-29 11:28:14,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina Genome Analyzer IIx,SRR5486989,SRP105449,PRJNA372989,372989,SRS2153429,SAMN06314526,SRA557924,RNA-Seq,RANDOM,TRANSCRIPTOMIC,,JGI,0,0,3993293,,,,6314526,PCC 7942,,,S7-2 (unknown),,,,,,,,,,aerobic,,,,,,,,,,,,,,,True,True,True,True,,,,,True
SRX2769891,2017-04-29 11:28:14,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina Genome Analyzer IIx,SRR5486990,SRP105449,PRJNA372989,372989,SRS2153429,SAMN06314526,SRA557924,RNA-Seq,RANDOM,TRANSCRIPTOMIC,,JGI,0,0,3993294,,,,6314526,PCC 7942,,,S7-2 (unknown),,,,,,,,,,aerobic,,,,,,,,,,,,,,,True,True,True,True,,,,,True
SRX2769892,2017-04-29 11:28:14,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina Genome Analyzer IIx,SRR5486991,SRP105449,PRJNA372989,372989,SRS2153429,SAMN06314526,SRA557924,RNA-Seq,RANDOM,TRANSCRIPTOMIC,,JGI,0,0,3993295,,,,6314526,PCC 7942,,,S7-2 (unknown),,,,,,,,,,aerobic,,,,,,,,,,,,,,,True,True,True,True,,,,,True
SRX3159653,2017-12-15 12:46:17,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR6004392,SRP117070,PRJNA401742,401742,SRS2490787,SAMN07604667,SRA605278,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,4460033,GSE103462,GSM2771773,,7604667,PCC 7942,wild type,"Main chromosome: NC_007604.1; plasmid pANL (plasmid 1), NC_004073.2; plasmid pANS (plasmid 2), NC_004990.1",ppGpp _rel-,wt_dawn_0m,wt_dawn_0m,0m,1.0,wt,BG-11,,,,aerobic,,,30 C,,,2.0,12hr,,,cool fluorescent light,40 _moles photons m-2 s-1,"O'Shea, Molecular and Cellular Biology, Harvard University",,,True,True,True,True,,,,ppGpp _rel-:wt_dawn_0m,True
SRX3159654,2017-12-15 12:46:17,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR6004393,SRP117070,PRJNA401742,401742,SRS2490788,SAMN07604666,SRA605278,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,4460034,GSE103462,GSM2771774,,7604666,PCC 7942,wild type,"Main chromosome: NC_007604.1; plasmid pANL (plasmid 1), NC_004073.2; plasmid pANS (plasmid 2), NC_004990.1",ppGpp _rel-,wt_dawn_0m,wt_dawn_0m,0m,2.0,wt,BG-11,,,,aerobic,,,30 C,,,2.0,12hr,,,cool fluorescent light,40 _moles photons m-2 s-1,"O'Shea, Molecular and Cellular Biology, Harvard University",,,True,True,True,True,,,,ppGpp _rel-:wt_dawn_0m,True
SRX3159655,2017-12-15 12:46:17,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR6004394,SRP117070,PRJNA401742,401742,SRS2490789,SAMN07604665,SRA605278,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,4460035,GSE103462,GSM2771775,,7604665,PCC 7942,wild type,"Main chromosome: NC_007604.1; plasmid pANL (plasmid 1), NC_004073.2; plasmid pANS (plasmid 2), NC_004990.1",ppGpp _rel-,wt_dusk_12h,wt_dawn_0m,CT = 12h,1.0,wt,BG-11,,,,aerobic,,,30 C,,,2.0,12hr,,,cool fluorescent light,40 _moles photons m-2 s-1,"O'Shea, Molecular and Cellular Biology, Harvard University",,,True,True,True,True,,,,ppGpp _rel-:wt_dusk_12h,True
