Experiment	ReleaseDate	TaxID	ScientificName	species_tax_id	class_tax_id	strain_tax_id	species	LibraryLayout	Platform	Model	Run	SRAStudy	BioProject	ProjectID	Sample	BioSample	Submission	LibraryStrategy	LibrarySelection	LibrarySource	Body_Site	CenterName	InsertSize	InsertDev	SRA ID	GEO Series	GEO Sample	PMID	Biosample ID	biosample_strain	biosample_genotype	reference_sequence	project_name	condition_name	strain_description	base_media	carbon_source	nitrogen_source	aerobicity	supplement	temperature	pH	growth_phase	OD	additional_notes	R1	R2
SRX2356929	2017-02-15 16:19:01	1140	Synechococcus elongatus PCC 7942 = FACHB-805	32046	1117	1140	Synechococcus elongatus	SINGLE	ILLUMINA	Illumina HiSeq 2000	SRR5031880	SRP093663	PRJNA354335	354335	SRS1805789	SAMN06033591	SRA495832	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	3439817	GSE89999	GSM2395376	28430105	6033591		"rpaA- ""clock rescue"""																
SRX2356930	2017-02-15 16:19:01	1140	Synechococcus elongatus PCC 7942 = FACHB-805	32046	1117	1140	Synechococcus elongatus	SINGLE	ILLUMINA	Illumina HiSeq 2000	SRR5031881	SRP093663	PRJNA354335	354335	SRS1805790	SAMN06033590	SRA495832	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	3439818	GSE89999	GSM2395377	28430105	6033590		"rpaA- ""clock rescue"""																
SRX2356931	2017-02-15 16:19:01	1140	Synechococcus elongatus PCC 7942 = FACHB-805	32046	1117	1140	Synechococcus elongatus	SINGLE	ILLUMINA	Illumina HiSeq 2000	SRR5031882	SRP093663	PRJNA354335	354335	SRS1805791	SAMN06033589	SRA495832	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	3439819	GSE89999	GSM2395378	28430105	6033589		"rpaA- ""clock rescue"""																
SRX2356932	2017-02-15 16:19:01	1140	Synechococcus elongatus PCC 7942 = FACHB-805	32046	1117	1140	Synechococcus elongatus	SINGLE	ILLUMINA	Illumina HiSeq 2000	SRR5031883	SRP093663	PRJNA354335	354335	SRS1805792	SAMN06033588	SRA495832	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	3439820	GSE89999	GSM2395379	28430105	6033588		"rpaA- ""clock rescue"""																
SRX2356933	2017-02-15 16:19:01	1140	Synechococcus elongatus PCC 7942 = FACHB-805	32046	1117	1140	Synechococcus elongatus	SINGLE	ILLUMINA	Illumina HiSeq 2000	SRR5031884	SRP093663	PRJNA354335	354335	SRS1805793	SAMN06033587	SRA495832	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	3439821	GSE89999	GSM2395380	28430105	6033587		"rpaA- ""clock rescue"""																
SRX2356934	2017-02-15 16:19:01	1140	Synechococcus elongatus PCC 7942 = FACHB-805	32046	1117	1140	Synechococcus elongatus	SINGLE	ILLUMINA	Illumina HiSeq 2000	SRR5031885	SRP093663	PRJNA354335	354335	SRS1805794	SAMN06033586	SRA495832	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	3439822	GSE89999	GSM2395381	28430105	6033586		"rpaA- ""clock rescue"""																
SRX2356935	2017-02-15 16:19:01	1140	Synechococcus elongatus PCC 7942 = FACHB-805	32046	1117	1140	Synechococcus elongatus	SINGLE	ILLUMINA	Illumina HiSeq 2000	SRR5031886	SRP093663	PRJNA354335	354335	SRS1805795	SAMN06033585	SRA495832	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	3439823	GSE89999	GSM2395382	28430105	6033585		"rpaA- ""clock rescue"""																
SRX259777	2015-07-22 17:03:15	1140	Synechococcus elongatus PCC 7942 = FACHB-805	32046	1117	1140	Synechococcus elongatus	SINGLE	ILLUMINA	Illumina HiSeq 2000	SRR807396	SRP020509	PRJNA196229	196229	SRS408053	SAMN01999000	SRA072537	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	364625	GSE45762	GSM1113860	23919451	1999000	7942	wild type																
SRX259778	2015-07-22 17:03:15	1140	Synechococcus elongatus PCC 7942 = FACHB-805	32046	1117	1140	Synechococcus elongatus	SINGLE	ILLUMINA	Illumina HiSeq 2000	SRR807397	SRP020509	PRJNA196229	196229	SRS408054	SAMN01999001	SRA072537	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	364626	GSE45762	GSM1113861	23919451	1999001	7942	wild type																
SRX259779	2015-07-22 17:03:15	1140	Synechococcus elongatus PCC 7942 = FACHB-805	32046	1117	1140	Synechococcus elongatus	SINGLE	ILLUMINA	Illumina HiSeq 2000	SRR807398	SRP020509	PRJNA196229	196229	SRS408055	SAMN01999002	SRA072537	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	364627	GSE45762	GSM1113862	23919451	1999002	7942	wild type																
SRX259780	2015-07-22 17:03:15	1140	Synechococcus elongatus PCC 7942 = FACHB-805	32046	1117	1140	Synechococcus elongatus	SINGLE	ILLUMINA	Illumina HiSeq 2000	SRR807399	SRP020509	PRJNA196229	196229	SRS408056	SAMN01999003	SRA072537	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	364628	GSE45762	GSM1113863	23919451	1999003	7942	wild type																
SRX259781	2015-07-22 17:03:15	1140	Synechococcus elongatus PCC 7942 = FACHB-805	32046	1117	1140	Synechococcus elongatus	SINGLE	ILLUMINA	Illumina HiSeq 2000	SRR807400	SRP020509	PRJNA196229	196229	SRS408057	SAMN01999004	SRA072537	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	364629	GSE45762	GSM1113864	23919451	1999004	7942	wild type																
SRX259782	2015-07-22 17:03:15	1140	Synechococcus elongatus PCC 7942 = FACHB-805	32046	1117	1140	Synechococcus elongatus	SINGLE	ILLUMINA	Illumina HiSeq 2000	SRR807401	SRP020509	PRJNA196229	196229	SRS408058	SAMN01999005	SRA072537	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	364630	GSE45762	GSM1113865	23919451	1999005	7942	wild type																
SRX259783	2015-07-22 17:03:15	1140	Synechococcus elongatus PCC 7942 = FACHB-805	32046	1117	1140	Synechococcus elongatus	SINGLE	ILLUMINA	Illumina HiSeq 2000	SRR807402	SRP020509	PRJNA196229	196229	SRS408059	SAMN01999006	SRA072537	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	364631	GSE45762	GSM1113866	23919451	1999006	SE01	delta-aas																
SRX259784	2015-07-22 17:03:15	1140	Synechococcus elongatus PCC 7942 = FACHB-805	32046	1117	1140	Synechococcus elongatus	SINGLE	ILLUMINA	Illumina HiSeq 2000	SRR807403	SRP020509	PRJNA196229	196229	SRS408060	SAMN01999007	SRA072537	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	364632	GSE45762	GSM1113867	23919451	1999007	SE01	delta-aas																
SRX259785	2015-07-22 17:03:15	1140	Synechococcus elongatus PCC 7942 = FACHB-805	32046	1117	1140	Synechococcus elongatus	SINGLE	ILLUMINA	Illumina HiSeq 2000	SRR807404	SRP020509	PRJNA196229	196229	SRS408061	SAMN01999008	SRA072537	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	364633	GSE45762	GSM1113868	23919451	1999008	SE01	delta-aas																
SRX259786	2015-07-22 17:03:15	1140	Synechococcus elongatus PCC 7942 = FACHB-805	32046	1117	1140	Synechococcus elongatus	SINGLE	ILLUMINA	Illumina HiSeq 2000	SRR807405	SRP020509	PRJNA196229	196229	SRS408062	SAMN01999009	SRA072537	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	364634	GSE45762	GSM1113869	23919451	1999009	SE01	delta-aas																
SRX259787	2015-07-22 17:03:15	1140	Synechococcus elongatus PCC 7942 = FACHB-805	32046	1117	1140	Synechococcus elongatus	SINGLE	ILLUMINA	Illumina HiSeq 2000	SRR807406	SRP020509	PRJNA196229	196229	SRS408063	SAMN01999010	SRA072537	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	364635	GSE45762	GSM1113870	23919451	1999010	SE01	delta-aas																
SRX259788	2015-07-22 17:03:15	1140	Synechococcus elongatus PCC 7942 = FACHB-805	32046	1117	1140	Synechococcus elongatus	SINGLE	ILLUMINA	Illumina HiSeq 2000	SRR807407	SRP020509	PRJNA196229	196229	SRS408064	SAMN01999011	SRA072537	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	364636	GSE45762	GSM1113871	23919451	1999011	SE01	delta-aas																
SRX259789	2015-07-22 17:03:15	1140	Synechococcus elongatus PCC 7942 = FACHB-805	32046	1117	1140	Synechococcus elongatus	SINGLE	ILLUMINA	Illumina HiSeq 2000	SRR807408	SRP020509	PRJNA196229	196229	SRS408065	SAMN01999012	SRA072537	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	364637	GSE45762	GSM1113872	23919451	1999012	SE02	delta-aas, 'tesA																
SRX259790	2015-07-22 17:03:15	1140	Synechococcus elongatus PCC 7942 = FACHB-805	32046	1117	1140	Synechococcus elongatus	SINGLE	ILLUMINA	Illumina HiSeq 2000	SRR807409	SRP020509	PRJNA196229	196229	SRS408066	SAMN01999013	SRA072537	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	364638	GSE45762	GSM1113873	23919451	1999013	SE02	delta-aas, 'tesA																
SRX259791	2015-07-22 17:03:15	1140	Synechococcus elongatus PCC 7942 = FACHB-805	32046	1117	1140	Synechococcus elongatus	SINGLE	ILLUMINA	Illumina HiSeq 2000	SRR807410	SRP020509	PRJNA196229	196229	SRS408067	SAMN01999014	SRA072537	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	364639	GSE45762	GSM1113874	23919451	1999014	SE02	delta-aas, 'tesA																
SRX259792	2015-07-22 17:03:15	1140	Synechococcus elongatus PCC 7942 = FACHB-805	32046	1117	1140	Synechococcus elongatus	SINGLE	ILLUMINA	Illumina HiSeq 2000	SRR807411	SRP020509	PRJNA196229	196229	SRS408068	SAMN01999015	SRA072537	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	364640	GSE45762	GSM1113875	23919451	1999015	SE02	delta-aas, 'tesA																
SRX259793	2015-07-22 17:03:15	1140	Synechococcus elongatus PCC 7942 = FACHB-805	32046	1117	1140	Synechococcus elongatus	SINGLE	ILLUMINA	Illumina HiSeq 2000	SRR807412	SRP020509	PRJNA196229	196229	SRS408069	SAMN01999016	SRA072537	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	364641	GSE45762	GSM1113876	23919451	1999016	SE02	delta-aas, 'tesA																
SRX2769874	2017-04-29 11:28:14	1140	Synechococcus elongatus PCC 7942 = FACHB-805	32046	1117	1140	Synechococcus elongatus	SINGLE	ILLUMINA	Illumina Genome Analyzer IIx	SRR5486973	SRP105449	PRJNA372989	372989	SRS2153429	SAMN06314526	SRA557924	RNA-Seq	RANDOM	TRANSCRIPTOMIC		JGI	0	0	3993277				6314526	PCC 7942																	
SRX2769875	2017-04-29 11:14:15	1140	Synechococcus elongatus PCC 7942 = FACHB-805	32046	1117	1140	Synechococcus elongatus	SINGLE	ILLUMINA	Illumina MiSeq	SRR5486974	SRP105449	PRJNA372989	372989	SRS2153429	SAMN06314526	SRA557924	RNA-Seq	RANDOM	TRANSCRIPTOMIC		JGI	0	0	3993278				6314526	PCC 7942																	
SRX2769876	2017-04-29 11:30:14	1140	Synechococcus elongatus PCC 7942 = FACHB-805	32046	1117	1140	Synechococcus elongatus	SINGLE	ILLUMINA	Illumina Genome Analyzer IIx	SRR5486975	SRP105449	PRJNA372989	372989	SRS2153429	SAMN06314526	SRA557924	RNA-Seq	RANDOM	TRANSCRIPTOMIC		JGI	0	0	3993279				6314526	PCC 7942																	
SRX2769877	2017-04-29 11:13:14	1140	Synechococcus elongatus PCC 7942 = FACHB-805	32046	1117	1140	Synechococcus elongatus	SINGLE	ILLUMINA	Illumina Genome Analyzer II	SRR5486976	SRP105449	PRJNA372989	372989	SRS2153429	SAMN06314526	SRA557924	RNA-Seq	RANDOM	TRANSCRIPTOMIC		JGI	0	0	3993280				6314526	PCC 7942																	
SRX2769878	2017-04-29 11:17:27	1140	Synechococcus elongatus PCC 7942 = FACHB-805	32046	1117	1140	Synechococcus elongatus	SINGLE	ILLUMINA	Illumina Genome Analyzer II	SRR5486977	SRP105449	PRJNA372989	372989	SRS2153429	SAMN06314526	SRA557924	RNA-Seq	RANDOM	TRANSCRIPTOMIC		JGI	0	0	3993281				6314526	PCC 7942																	
SRX2769879	2017-04-29 11:28:14	1140	Synechococcus elongatus PCC 7942 = FACHB-805	32046	1117	1140	Synechococcus elongatus	SINGLE	ILLUMINA	Illumina Genome Analyzer IIx	SRR5486978	SRP105449	PRJNA372989	372989	SRS2153429	SAMN06314526	SRA557924	RNA-Seq	RANDOM	TRANSCRIPTOMIC		JGI	0	0	3993282				6314526	PCC 7942																	
SRX2769880	2017-04-29 11:17:27	1140	Synechococcus elongatus PCC 7942 = FACHB-805	32046	1117	1140	Synechococcus elongatus	SINGLE	ILLUMINA	Illumina Genome Analyzer II	SRR5486979	SRP105449	PRJNA372989	372989	SRS2153429	SAMN06314526	SRA557924	RNA-Seq	RANDOM	TRANSCRIPTOMIC		JGI	0	0	3993283				6314526	PCC 7942																	
SRX2769881	2017-04-29 11:20:14	1140	Synechococcus elongatus PCC 7942 = FACHB-805	32046	1117	1140	Synechococcus elongatus	SINGLE	ILLUMINA	Illumina Genome Analyzer IIx	SRR5486980	SRP105449	PRJNA372989	372989	SRS2153429	SAMN06314526	SRA557924	RNA-Seq	RANDOM	TRANSCRIPTOMIC		JGI	0	0	3993284				6314526	PCC 7942																	
SRX2769882	2017-04-29 11:12:14	1140	Synechococcus elongatus PCC 7942 = FACHB-805	32046	1117	1140	Synechococcus elongatus	SINGLE	ILLUMINA	Illumina MiSeq	SRR5486981	SRP105449	PRJNA372989	372989	SRS2153429	SAMN06314526	SRA557924	RNA-Seq	RANDOM	TRANSCRIPTOMIC		JGI	0	0	3993285				6314526	PCC 7942																	
SRX2769883	2017-04-29 11:28:14	1140	Synechococcus elongatus PCC 7942 = FACHB-805	32046	1117	1140	Synechococcus elongatus	SINGLE	ILLUMINA	Illumina Genome Analyzer IIx	SRR5486982	SRP105449	PRJNA372989	372989	SRS2153429	SAMN06314526	SRA557924	RNA-Seq	RANDOM	TRANSCRIPTOMIC		JGI	0	0	3993286				6314526	PCC 7942																	
SRX2769884	2017-04-29 11:26:14	1140	Synechococcus elongatus PCC 7942 = FACHB-805	32046	1117	1140	Synechococcus elongatus	SINGLE	ILLUMINA	Illumina Genome Analyzer IIx	SRR5486983	SRP105449	PRJNA372989	372989	SRS2153429	SAMN06314526	SRA557924	RNA-Seq	RANDOM	TRANSCRIPTOMIC		JGI	0	0	3993287				6314526	PCC 7942																	
SRX2769885	2017-04-29 11:28:14	1140	Synechococcus elongatus PCC 7942 = FACHB-805	32046	1117	1140	Synechococcus elongatus	SINGLE	ILLUMINA	Illumina Genome Analyzer IIx	SRR5486984	SRP105449	PRJNA372989	372989	SRS2153429	SAMN06314526	SRA557924	RNA-Seq	RANDOM	TRANSCRIPTOMIC		JGI	0	0	3993288				6314526	PCC 7942																	
SRX2769886	2017-04-29 11:32:16	1140	Synechococcus elongatus PCC 7942 = FACHB-805	32046	1117	1140	Synechococcus elongatus	SINGLE	ILLUMINA	Illumina Genome Analyzer IIx	SRR5486985	SRP105449	PRJNA372989	372989	SRS2153429	SAMN06314526	SRA557924	RNA-Seq	RANDOM	TRANSCRIPTOMIC		JGI	0	0	3993289				6314526	PCC 7942																	
SRX2769887	2017-04-29 11:32:16	1140	Synechococcus elongatus PCC 7942 = FACHB-805	32046	1117	1140	Synechococcus elongatus	SINGLE	ILLUMINA	Illumina Genome Analyzer IIx	SRR5486986	SRP105449	PRJNA372989	372989	SRS2153429	SAMN06314526	SRA557924	RNA-Seq	RANDOM	TRANSCRIPTOMIC		JGI	0	0	3993290				6314526	PCC 7942																	
