,ReleaseDate,TaxID,ScientificName,species_tax_id,class_tax_id,strain_tax_id,species,LibraryLayout,Platform,Model,Run,SRAStudy,BioProject,ProjectID,Sample,BioSample,Submission,LibraryStrategy,LibrarySelection,LibrarySource,Body_Site,CenterName,InsertSize,InsertDev,SRA ID,GEO Series,GEO Sample,PMID,Biosample ID,biosample_strain,biosample_genotype,reference_sequence,project_name,condition_name,reference_sample,post_induction_time,replicate_id,strain_description,base_media,carbon_source,nitrogen_source,inducer_agent,aerobicity,inoculation,supplement,temperature,pH,growth_phase,entraintment_cycles,entraintment_period_per_cycle,OD_wavelength,OD,light_condition,light_intensity ,submission,publication,notes,passed_fastqc,passed_pct_reads_mapped,passed_reads_mapped_to_CDS,passed_global_correlation,,,
SRX2356924,2017-02-15 16:19:00,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR5031875,SRP093663,PRJNA354335,354335,SRS1805784,SAMN06033596,SRA495832,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,3439812,GSE89999,GSM2395371,28430105,6033596,PCC 7942,rpaA- _clock_rescue,"Main chromosome: NC_007604.1; plasmid pANL (plasmid 1), NC_004073.2; plasmid pANS (plasmid 2), NC_004990.1",rpaA_clck_res,rpaA- _dusk_ZT_12h,wt_dusk_ZT_12h,12h,,"_rpaA(Gmr),P0050::kaiBC (native locus, Kmr)",BG-11,CO2,,20_100 _M IPTG,aerobic,,0.4% (w/v) glucose,30 C,,,2,12 hr,750,0.2,cool fluorescent light,40 _E m-2 s-1 (moles photons m-2 s-1),"O'Shea, Molecular and Cellular Biology, Harvard University","Puszynska AM et al., ""Switching of metabolic programs in response to light availability is an essential function of the cyanobacterial circadian output pathway."", Elife, 2017 Apr 21;6",1)  ´clock rescue = kaiBC expression is made independent of RpaA, 2) rpaA- ´clock rescue strain = rpaA- strain, 3)  isogenic rpaA+ ´clock rescue strain phenocopies wild type strain, 4) rpaA- _clock rescueî strain is defective in transcription of genes crucial for utilization of carbohydrate stores at night.,True,True,True,True
SRX2356925,2017-02-15 16:19:00,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR5031876,SRP093663,PRJNA354335,354335,SRS1805785,SAMN06033595,SRA495832,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,3439813,GSE89999,GSM2395372,28430105,6033595,PCC 7942,rpaA- _clock_rescue,"Main chromosome: NC_007604.1; plasmid pANL (plasmid 1), NC_004073.2; plasmid pANS (plasmid 2), NC_004990.1",rpaA_clck_res,rpaA- _dark_5m,wt_dusk_ZT_12h,5m,,"_rpaA(Gmr),P0050::kaiBC (native locus, Kmr)",BG-11,CO2,,20_100 _M IPTG,aerobic,,0.4% (w/v) glucose,30 C,,,2,12 hr,750,0.2,cool fluorescent light,40 _E m-2 s-1 (moles photons m-2 s-1),"O'Shea, Molecular and Cellular Biology, Harvard University","Puszynska AM et al., ""Switching of metabolic programs in response to light availability is an essential function of the cyanobacterial circadian output pathway."", Elife, 2017 Apr 21;6",1)  ´clock rescue = kaiBC expression is made independent of RpaA, 2) rpaA- ´clock rescue strain = rpaA- strain, 3)  isogenic rpaA+ ´clock rescue strain phenocopies wild type strain, 4) rpaA- _clock rescueî strain is defective in transcription of genes crucial for utilization of carbohydrate stores at night.,True,True,True,True
SRX2356926,2017-02-15 16:19:00,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR5031877,SRP093663,PRJNA354335,354335,SRS1805786,SAMN06033594,SRA495832,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,3439814,GSE89999,GSM2395373,28430105,6033594,PCC 7942,rpaA- _clock_rescue,"Main chromosome: NC_007604.1; plasmid pANL (plasmid 1), NC_004073.2; plasmid pANS (plasmid 2), NC_004990.1",rpaA_clck_res,rpaA- _dark_15m,wt_dusk_ZT_12h,15m,,"_rpaA(Gmr),P0050::kaiBC (native locus, Kmr)",BG-11,CO2,,20_100 _M IPTG,aerobic,,0.4% (w/v) glucose,30 C,,,2,12 hr,750,0.2,cool fluorescent light,40 _E m-2 s-1 (moles photons m-2 s-1),"O'Shea, Molecular and Cellular Biology, Harvard University","Puszynska AM et al., ""Switching of metabolic programs in response to light availability is an essential function of the cyanobacterial circadian output pathway."", Elife, 2017 Apr 21;6",1)  ´clock rescue = kaiBC expression is made independent of RpaA, 2) rpaA- ´clock rescue strain = rpaA- strain, 3)  isogenic rpaA+ ´clock rescue strain phenocopies wild type strain, 4) rpaA- _clock rescueî strain is defective in transcription of genes crucial for utilization of carbohydrate stores at night.,True,True,True,True
SRX2356927,2017-02-15 16:19:00,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR5031878,SRP093663,PRJNA354335,354335,SRS1805787,SAMN06033593,SRA495832,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,3439815,GSE89999,GSM2395374,28430105,6033593,PCC 7942,rpaA- _clock_rescue,"Main chromosome: NC_007604.1; plasmid pANL (plasmid 1), NC_004073.2; plasmid pANS (plasmid 2), NC_004990.1",rpaA_clck_res,rpaA- _dark_30m,wt_dusk_ZT_12h,30m,,"_rpaA(Gmr),P0050::kaiBC (native locus, Kmr)",BG-11,CO2,,20_100 _M IPTG,aerobic,,0.4% (w/v) glucose,30 C,,,2,12 hr,750,0.2,cool fluorescent light,40 _E m-2 s-1 (moles photons m-2 s-1),"O'Shea, Molecular and Cellular Biology, Harvard University","Puszynska AM et al., ""Switching of metabolic programs in response to light availability is an essential function of the cyanobacterial circadian output pathway."", Elife, 2017 Apr 21;6",1)  ´clock rescue = kaiBC expression is made independent of RpaA, 2) rpaA- ´clock rescue strain = rpaA- strain, 3)  isogenic rpaA+ ´clock rescue strain phenocopies wild type strain, 4) rpaA- _clock rescueî strain is defective in transcription of genes crucial for utilization of carbohydrate stores at night.,True,True,True,True
SRX2356928,2017-02-15 16:19:01,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR5031879,SRP093663,PRJNA354335,354335,SRS1805788,SAMN06033592,SRA495832,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,3439816,GSE89999,GSM2395375,28430105,6033592,PCC 7942,rpaA- _clock_rescue,"Main chromosome: NC_007604.1; plasmid pANL (plasmid 1), NC_004073.2; plasmid pANS (plasmid 2), NC_004990.1",rpaA_clck_res,rpaA- _dark_1h,wt_dusk_ZT_12h,1h,,"_rpaA(Gmr),P0050::kaiBC (native locus, Kmr)",BG-11,CO2,,20_100 _M IPTG,aerobic,,0.4% (w/v) glucose,30 C,,,2,12 hr,750,0.2,cool fluorescent light,40 _E m-2 s-1 (moles photons m-2 s-1),"O'Shea, Molecular and Cellular Biology, Harvard University","Puszynska AM et al., ""Switching of metabolic programs in response to light availability is an essential function of the cyanobacterial circadian output pathway."", Elife, 2017 Apr 21;6",1)  ´clock rescue = kaiBC expression is made independent of RpaA, 2) rpaA- ´clock rescue strain = rpaA- strain, 3)  isogenic rpaA+ ´clock rescue strain phenocopies wild type strain, 4) rpaA- _clock rescueî strain is defective in transcription of genes crucial for utilization of carbohydrate stores at night.,True,True,True,True
SRX2356929,2017-02-15 16:19:01,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR5031880,SRP093663,PRJNA354335,354335,SRS1805789,SAMN06033591,SRA495832,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,3439817,GSE89999,GSM2395376,28430105,6033591,PCC 7942,rpaA- _clock_rescue,"Main chromosome: NC_007604.1; plasmid pANL (plasmid 1), NC_004073.2; plasmid pANS (plasmid 2), NC_004990.1",rpaA_clck_res,rpaA- _dark_2h,wt_dusk_ZT_12h,2h,,"_rpaA(Gmr),P0050::kaiBC (native locus, Kmr)",BG-11,CO2,,20_100 _M IPTG,aerobic,,0.4% (w/v) glucose,30 C,,,2,12 hr,750,0.2,cool fluorescent light,40 _E m-2 s-1 (moles photons m-2 s-1),"O'Shea, Molecular and Cellular Biology, Harvard University","Puszynska AM et al., ""Switching of metabolic programs in response to light availability is an essential function of the cyanobacterial circadian output pathway."", Elife, 2017 Apr 21;6",1)  ´clock rescue = kaiBC expression is made independent of RpaA, 2) rpaA- ´clock rescue strain = rpaA- strain, 3)  isogenic rpaA+ ´clock rescue strain phenocopies wild type strain, 4) rpaA- _clock rescueî strain is defective in transcription of genes crucial for utilization of carbohydrate stores at night.,True,True,True,True
SRX2356933,2017-02-15 16:19:01,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR5031884,SRP093663,PRJNA354335,354335,SRS1805793,SAMN06033587,SRA495832,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,3439821,GSE89999,GSM2395380,28430105,6033587,PCC 7942,rpaA- _clock_rescue,"Main chromosome: NC_007604.1; plasmid pANL (plasmid 1), NC_004073.2; plasmid pANS (plasmid 2), NC_004990.1",rpaA_clck_res,rpaA- _dawn_5m,wt_dusk_ZT_12h,5m,,"_rpaA(Gmr),P0050::kaiBC (native locus, Kmr)",BG-11,CO2,,20_100 _M IPTG,aerobic,,0.4% (w/v) glucose,30 C,,,2,12 hr,750,0.2,cool fluorescent light,40 _E m-2 s-1 (moles photons m-2 s-1),"O'Shea, Molecular and Cellular Biology, Harvard University","Puszynska AM et al., ""Switching of metabolic programs in response to light availability is an essential function of the cyanobacterial circadian output pathway."", Elife, 2017 Apr 21;6",1)  ´clock rescue = kaiBC expression is made independent of RpaA, 2) rpaA- ´clock rescue strain = rpaA- strain, 3)  isogenic rpaA+ ´clock rescue strain phenocopies wild type strain, 4) rpaA- _clock rescueî strain is defective in transcription of genes crucial for utilization of carbohydrate stores at night.,True,True,True,True
SRX2356934,2017-02-15 16:19:01,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR5031885,SRP093663,PRJNA354335,354335,SRS1805794,SAMN06033586,SRA495832,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,3439822,GSE89999,GSM2395381,28430105,6033586,PCC 7942,rpaA- _clock_rescue,"Main chromosome: NC_007604.1; plasmid pANL (plasmid 1), NC_004073.2; plasmid pANS (plasmid 2), NC_004990.1",rpaA_clck_res,rpaA- _dawn_15m,wt_dusk_ZT_12h,15m,,"_rpaA(Gmr),P0050::kaiBC (native locus, Kmr)",BG-11,CO2,,20_100 _M IPTG,aerobic,,0.4% (w/v) glucose,30 C,,,2,12 hr,750,0.2,cool fluorescent light,40 _E m-2 s-1 (moles photons m-2 s-1),"O'Shea, Molecular and Cellular Biology, Harvard University","Puszynska AM et al., ""Switching of metabolic programs in response to light availability is an essential function of the cyanobacterial circadian output pathway."", Elife, 2017 Apr 21;6",1)  ´clock rescue = kaiBC expression is made independent of RpaA, 2) rpaA- ´clock rescue strain = rpaA- strain, 3)  isogenic rpaA+ ´clock rescue strain phenocopies wild type strain, 4) rpaA- _clock rescueî strain is defective in transcription of genes crucial for utilization of carbohydrate stores at night.,True,True,True,True
SRX2356935,2017-02-15 16:19:01,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR5031886,SRP093663,PRJNA354335,354335,SRS1805795,SAMN06033585,SRA495832,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,3439823,GSE89999,GSM2395382,28430105,6033585,PCC 7942,rpaA- _clock_rescue,"Main chromosome: NC_007604.1; plasmid pANL (plasmid 1), NC_004073.2; plasmid pANS (plasmid 2), NC_004990.1",rpaA_clck_res,rpaA- _dawn_30m,wt_dusk_ZT_12h,30m,,"_rpaA(Gmr),P0050::kaiBC (native locus, Kmr)",BG-11,CO2,,20_100 _M IPTG,aerobic,,0.4% (w/v) glucose,30 C,,,2,12 hr,750,0.2,cool fluorescent light,40 _E m-2 s-1 (moles photons m-2 s-1),"O'Shea, Molecular and Cellular Biology, Harvard University","Puszynska AM et al., ""Switching of metabolic programs in response to light availability is an essential function of the cyanobacterial circadian output pathway."", Elife, 2017 Apr 21;6",1)  ´clock rescue = kaiBC expression is made independent of RpaA, 2) rpaA- ´clock rescue strain = rpaA- strain, 3)  isogenic rpaA+ ´clock rescue strain phenocopies wild type strain, 4) rpaA- _clock rescueî strain is defective in transcription of genes crucial for utilization of carbohydrate stores at night.,True,True,True,True
SRX259777,2015-07-22 17:03:15,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR807396,SRP020509,PRJNA196229,196229,SRS408053,SAMN01999000,SRA072537,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,364625,GSE45762,GSM1113860,23919451,1999000,PCC 7942,wild type,"NC_007604.fna for the S. elongatus PCC 7942 chromosome, NC_007595.fna for plasmid 1, and NC_004990.fna for pUH24.",FFA,wt_100h,wt_100h,100h,1,wild type,solid BG-11/agar ,CO2,,0.1 M IPTG,aerobic,,1 mM sodium thiosulfate,30 C,,,,,750,0.15,alternating cool white and plant fluorescent lights,60 _mol photons m-2 s-1,"Bioenergy and Defense Technologies, Sandia National Laboratories","Ruffing AM ""RNA-Seq analysis and targeted mutagenesis for improved free fatty acid production in an engineered cyanobacterium."", Biotechnol Biofuels, 2013 Aug 6;6(1):113",,True,True,True,True,,,
SRX259778,2015-07-22 17:03:15,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR807397,SRP020509,PRJNA196229,196229,SRS408054,SAMN01999001,SRA072537,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,364626,GSE45762,GSM1113861,23919451,1999001,PCC 7942,wild type,"NC_007604.fna for the S. elongatus PCC 7942 chromosome, NC_007595.fna for plasmid 1, and NC_004990.fna for pUH24.",FFA,wt_100h,wt_100h,100h,2,wild type,solid BG-11/agar ,CO2,,0.1 M IPTG,aerobic,,1 mM sodium thiosulfate,30 C,,,,,750,0.15,alternating cool white and plant fluorescent lights,60 _mol photons m-2 s-1,"Bioenergy and Defense Technologies, Sandia National Laboratories","Ruffing AM ""RNA-Seq analysis and targeted mutagenesis for improved free fatty acid production in an engineered cyanobacterium."", Biotechnol Biofuels, 2013 Aug 6;6(1):113",,True,True,True,True,,,
