,regulator,pvalue,qvalue,precision,recall,f1score,TP,regulon_size,n_regs,Function,Category,single_gene
NikR,nikR,0.0,,0.8333333333,0.8333333333,4.8,5.0,6,1,Nickel homeostasis,Metal Homeostasis,
NtrC+RpoN,ntrC+rpoN,2.69e-52,,0.5714285714,0.6666666667000001,6.5,32.0,56,2,Nitrogen starvation response,Stress Response,
RcsAB,rcsA;rcsB,4.36e-19,,0.3571428571,0.625,8.8,10.0,28,1,Colanic acid capsule formation,Structural Components,
His-tRNA,his-tRNA,6.519999999999999e-24,,0.8888888889000001,1.0,4.25,8.0,9,1,Histidine biosynthesis,Amino Acid and Nucleotide Biosynthesis,
Fur-2,fur,3.46e-26,,0.8148148148000001,0.1257142857,18.3636363636,22.0,27,1,Iron homeostasis,Metal Homeostasis,
Copper,cusR/hprR/cueR,5.47e-20,,1.0,0.4210526316,6.75,8.0,8,3,Copper homeostasis,Metal Homeostasis,
AllR/AraC/FucR,allR/araC/fucR,1.19e-41,,1.0,0.6000000000000001,5.3333333333,18.0,18,3,"Allantoin, glyoxylate, L-arabinose, and L-fucose catabolism",Carbon Source Utilization,
Cra,cra,7.059999999999999e-16,,0.8,0.0888888889,25.0,12.0,15,1,Central carbon metabolism,Carbon Source Utilization,
ArcA-2,arcA,1.15e-16,,0.84,0.0462555066,45.619047619,21.0,25,1,Electron Transport Chain,Energy Metabolism,
EvgA,evgA,6.2e-21,,0.5,0.625,7.2,10.0,20,1,Acid and osmotic stress response,Stress Response,
uncharacterized-2,,,,,,,,42,0,Unknown Function,Uncharacterized,
Zinc,zntR/zur,2.81e-19,,0.5833333333,1.0,5.4285714286,7.0,12,2,Zinc homeostasis,Metal Homeostasis,
SoxS,soxS,6.76e-35,,0.5609756098,0.4339622642,8.1739130435,23.0,41,1,Oxidative stress response,Stress Response,
Nac,nac,7.119999999999999e-24,,0.8648648649,0.061776061800000004,34.6875,32.0,37,1,Nitrogen starvation response,Stress Response,
Tryptophan,L-tryptophan/trpR/trp-tRNA,4.429999999999999e-21,,0.8181818182,0.5,6.4444444444,9.0,11,3,Tryptophan Biosynthesis,Amino Acid and Nucleotide Biosynthesis,
curli,,,,,,,,4,0,Curli assembly,Biological Enrichment,
gadWX-KO,,,,,,,,2,0,Accounts for gadW and gadX knock-outs,Genomic Alterations,
flu-yeeRS,,,,,,,,8,0,Genes in CP4-44 prophage,Biological Enrichment,
uncharacterized-1,,,,,,,,15,0,Unknown Function,Uncharacterized,
FadR/IclR,fadR/iclR,3.93e-21,,0.7692307692,0.4,7.6,10.0,13,2,Fatty acid degradation,Miscellaneous Metabolism,
lipopolysaccharide,,,,,,,,36,0,Lipopolysaccharide biosynthesis,Biological Enrichment,
FlhDC,flhD;flhC,4.759999999999999e-66,,0.9268292683,0.48717948720000004,6.2631578947,38.0,41,1,Flagella assembly,Structural Components,
crp-KO,,,,,,,,14,0,Accounts for crp knock-out,Genomic Alterations,
GntR/TyrR,gntR/tyrR,3.1799999999999997e-29,,0.8666666667,0.5416666667,6.0,13.0,15,2,Gluconate catabolism and tyrosine biosynthesis,Carbon Source Utilization,
purR-KO,,,,,,,,3,0,Accounts for purR knock-out,Genomic Alterations,
RpoS,rpoS,1.1000000000000001e-18,,0.37383177570000004,0.1320132013,20.5,40.0,107,1,General stress response,Stress Response,
membrane,,,,,,,,15,0,Enriched in membrane-bound proteins,Biological Enrichment,
duplication-1,,,,,,,,84,0,Large duplication of 129 genes during evolution,Genomic Alterations,
uncharacterized-3,,,,,,,,2,0,Unknown Function,Uncharacterized,
ExuR/FucR,exuR/fucR,1.02e-22,,0.6666666667000001,0.625,6.2,10.0,15,2,D-galacturonate and L-fucose catabolism,Carbon Source Utilization,
FecI,fecI,0.0,,0.5,1.0,6.0,5.0,10,1,Ferric citrate transport,Metal Homeostasis,
iron-related,,,,,,,,20,0,Related to iron metabolism,Biological Enrichment,
RbsR,rbsR,0.0,,0.8333333333,0.5555555556,6.0,5.0,6,1,D-ribose catabolism,Carbon Source Utilization,
sgrT,,,,,,,,4,0,Contains single dominating gene: sgrT,Biological Enrichment,1.0
insertion,,,,,,,,9,0,IS2 insertion element after laboratory evolution,Genomic Alterations,
