,ReleaseDate,TaxID,ScientificName,species_tax_id,class_tax_id,strain_tax_id,species,LibraryLayout,Platform,Model,Run,SRAStudy,BioProject,ProjectID,Sample,BioSample,Submission,LibraryStrategy,LibrarySelection,LibrarySource,Body_Site,CenterName,InsertSize,InsertDev,SRA ID,Biosample,GEO Series,GEO Sample,PMID,biosample_strain,biosample_genotype,R1,R2,passed_fastqc,passed_reads_mapped_to_CDS,passed_global_correlation,passed_replicate_corr,passed_similar_replicates
SRX2356933,2017-02-15 16:19:01,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR5031884,SRP093663,PRJNA354335,354335,SRS1805793,SAMN06033587,SRA495832,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,3439821,6033587,GSE89999,GSM2395380,28430105,,"rpaA- ""clock rescue""",,,True,True,True,False,True
SRX2356934,2017-02-15 16:19:01,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR5031885,SRP093663,PRJNA354335,354335,SRS1805794,SAMN06033586,SRA495832,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,3439822,6033586,GSE89999,GSM2395381,28430105,,"rpaA- ""clock rescue""",,,True,True,True,False,True
SRX2356935,2017-02-15 16:19:01,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR5031886,SRP093663,PRJNA354335,354335,SRS1805795,SAMN06033585,SRA495832,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,3439823,6033585,GSE89999,GSM2395382,28430105,,"rpaA- ""clock rescue""",,,True,True,True,False,True
SRX259777,2015-07-22 17:03:15,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR807396,SRP020509,PRJNA196229,196229,SRS408053,SAMN01999000,SRA072537,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,364625,1999000,GSE45762,GSM1113860,23919451,7942,wild type,,,True,True,True,True,True
SRX259778,2015-07-22 17:03:15,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR807397,SRP020509,PRJNA196229,196229,SRS408054,SAMN01999001,SRA072537,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,364626,1999001,GSE45762,GSM1113861,23919451,7942,wild type,,,True,True,True,True,True
SRX259779,2015-07-22 17:03:15,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR807398,SRP020509,PRJNA196229,196229,SRS408055,SAMN01999002,SRA072537,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,364627,1999002,GSE45762,GSM1113862,23919451,7942,wild type,,,True,True,True,True,True
SRX259780,2015-07-22 17:03:15,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR807399,SRP020509,PRJNA196229,196229,SRS408056,SAMN01999003,SRA072537,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,364628,1999003,GSE45762,GSM1113863,23919451,7942,wild type,,,True,True,True,True,True
SRX259781,2015-07-22 17:03:15,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR807400,SRP020509,PRJNA196229,196229,SRS408057,SAMN01999004,SRA072537,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,364629,1999004,GSE45762,GSM1113864,23919451,7942,wild type,,,True,True,True,True,True
SRX259782,2015-07-22 17:03:15,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR807401,SRP020509,PRJNA196229,196229,SRS408058,SAMN01999005,SRA072537,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,364630,1999005,GSE45762,GSM1113865,23919451,7942,wild type,,,True,True,True,True,True
SRX259783,2015-07-22 17:03:15,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR807402,SRP020509,PRJNA196229,196229,SRS408059,SAMN01999006,SRA072537,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,364631,1999006,GSE45762,GSM1113866,23919451,SE01,delta-aas,,,True,True,True,True,True
SRX259784,2015-07-22 17:03:15,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR807403,SRP020509,PRJNA196229,196229,SRS408060,SAMN01999007,SRA072537,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,364632,1999007,GSE45762,GSM1113867,23919451,SE01,delta-aas,,,True,True,True,True,True
SRX259785,2015-07-22 17:03:15,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR807404,SRP020509,PRJNA196229,196229,SRS408061,SAMN01999008,SRA072537,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,364633,1999008,GSE45762,GSM1113868,23919451,SE01,delta-aas,,,True,True,True,True,True
SRX259786,2015-07-22 17:03:15,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR807405,SRP020509,PRJNA196229,196229,SRS408062,SAMN01999009,SRA072537,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,364634,1999009,GSE45762,GSM1113869,23919451,SE01,delta-aas,,,True,True,True,True,True
SRX259787,2015-07-22 17:03:15,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR807406,SRP020509,PRJNA196229,196229,SRS408063,SAMN01999010,SRA072537,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,364635,1999010,GSE45762,GSM1113870,23919451,SE01,delta-aas,,,True,True,True,True,True
SRX259788,2015-07-22 17:03:15,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR807407,SRP020509,PRJNA196229,196229,SRS408064,SAMN01999011,SRA072537,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,364636,1999011,GSE45762,GSM1113871,23919451,SE01,delta-aas,,,True,True,True,True,True
SRX259789,2015-07-22 17:03:15,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR807408,SRP020509,PRJNA196229,196229,SRS408065,SAMN01999012,SRA072537,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,364637,1999012,GSE45762,GSM1113872,23919451,SE02,"delta-aas, 'tesA",,,True,False,True,True,True
SRX259790,2015-07-22 17:03:15,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR807409,SRP020509,PRJNA196229,196229,SRS408066,SAMN01999013,SRA072537,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,364638,1999013,GSE45762,GSM1113873,23919451,SE02,"delta-aas, 'tesA",,,True,True,True,False,False
SRX259791,2015-07-22 17:03:15,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR807410,SRP020509,PRJNA196229,196229,SRS408067,SAMN01999014,SRA072537,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,364639,1999014,GSE45762,GSM1113874,23919451,SE02,"delta-aas, 'tesA",,,True,True,True,True,True
SRX259792,2015-07-22 17:03:15,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR807411,SRP020509,PRJNA196229,196229,SRS408068,SAMN01999015,SRA072537,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,364640,1999015,GSE45762,GSM1113875,23919451,SE02,"delta-aas, 'tesA",,,True,True,True,True,True
SRX259793,2015-07-22 17:03:15,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR807412,SRP020509,PRJNA196229,196229,SRS408069,SAMN01999016,SRA072537,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,364641,1999016,GSE45762,GSM1113876,23919451,SE02,"delta-aas, 'tesA",,,True,True,True,True,True
SRX2769874,2017-04-29 11:28:14,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina Genome Analyzer IIx,SRR5486973,SRP105449,PRJNA372989,372989,SRS2153429,SAMN06314526,SRA557924,RNA-Seq,RANDOM,TRANSCRIPTOMIC,,JGI,0,0,3993277,6314526,,,,PCC 7942,,,,False,True,True,True,True
SRX2769875,2017-04-29 11:14:15,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina MiSeq,SRR5486974,SRP105449,PRJNA372989,372989,SRS2153429,SAMN06314526,SRA557924,RNA-Seq,RANDOM,TRANSCRIPTOMIC,,JGI,0,0,3993278,6314526,,,,PCC 7942,,,,True,False,False,True,True
SRX2769876,2017-04-29 11:30:14,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina Genome Analyzer IIx,SRR5486975,SRP105449,PRJNA372989,372989,SRS2153429,SAMN06314526,SRA557924,RNA-Seq,RANDOM,TRANSCRIPTOMIC,,JGI,0,0,3993279,6314526,,,,PCC 7942,,,,True,True,True,False,False
SRX2769877,2017-04-29 11:13:14,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina Genome Analyzer II,SRR5486976,SRP105449,PRJNA372989,372989,SRS2153429,SAMN06314526,SRA557924,RNA-Seq,RANDOM,TRANSCRIPTOMIC,,JGI,0,0,3993280,6314526,,,,PCC 7942,,,,False,False,True,True,True
SRX2769878,2017-04-29 11:17:27,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina Genome Analyzer II,SRR5486977,SRP105449,PRJNA372989,372989,SRS2153429,SAMN06314526,SRA557924,RNA-Seq,RANDOM,TRANSCRIPTOMIC,,JGI,0,0,3993281,6314526,,,,PCC 7942,,,,True,True,True,False,False
SRX2769879,2017-04-29 11:28:14,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina Genome Analyzer IIx,SRR5486978,SRP105449,PRJNA372989,372989,SRS2153429,SAMN06314526,SRA557924,RNA-Seq,RANDOM,TRANSCRIPTOMIC,,JGI,0,0,3993282,6314526,,,,PCC 7942,,,,False,True,True,True,True
SRX2769880,2017-04-29 11:17:27,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina Genome Analyzer II,SRR5486979,SRP105449,PRJNA372989,372989,SRS2153429,SAMN06314526,SRA557924,RNA-Seq,RANDOM,TRANSCRIPTOMIC,,JGI,0,0,3993283,6314526,,,,PCC 7942,,,,True,True,True,False,False
SRX2769881,2017-04-29 11:20:14,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina Genome Analyzer IIx,SRR5486980,SRP105449,PRJNA372989,372989,SRS2153429,SAMN06314526,SRA557924,RNA-Seq,RANDOM,TRANSCRIPTOMIC,,JGI,0,0,3993284,6314526,,,,PCC 7942,,,,True,True,True,False,False
SRX2769882,2017-04-29 11:12:14,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina MiSeq,SRR5486981,SRP105449,PRJNA372989,372989,SRS2153429,SAMN06314526,SRA557924,RNA-Seq,RANDOM,TRANSCRIPTOMIC,,JGI,0,0,3993285,6314526,,,,PCC 7942,,,,True,False,False,True,True
SRX2769883,2017-04-29 11:28:14,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina Genome Analyzer IIx,SRR5486982,SRP105449,PRJNA372989,372989,SRS2153429,SAMN06314526,SRA557924,RNA-Seq,RANDOM,TRANSCRIPTOMIC,,JGI,0,0,3993286,6314526,,,,PCC 7942,,,,True,True,True,False,False
SRX2769884,2017-04-29 11:26:14,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina Genome Analyzer IIx,SRR5486983,SRP105449,PRJNA372989,372989,SRS2153429,SAMN06314526,SRA557924,RNA-Seq,RANDOM,TRANSCRIPTOMIC,,JGI,0,0,3993287,6314526,,,,PCC 7942,,,,True,True,True,False,False
SRX2769885,2017-04-29 11:28:14,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina Genome Analyzer IIx,SRR5486984,SRP105449,PRJNA372989,372989,SRS2153429,SAMN06314526,SRA557924,RNA-Seq,RANDOM,TRANSCRIPTOMIC,,JGI,0,0,3993288,6314526,,,,PCC 7942,,,,True,True,True,False,False
SRX2769886,2017-04-29 11:32:16,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina Genome Analyzer IIx,SRR5486985,SRP105449,PRJNA372989,372989,SRS2153429,SAMN06314526,SRA557924,RNA-Seq,RANDOM,TRANSCRIPTOMIC,,JGI,0,0,3993289,6314526,,,,PCC 7942,,,,True,True,True,False,False
SRX2769887,2017-04-29 11:32:16,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina Genome Analyzer IIx,SRR5486986,SRP105449,PRJNA372989,372989,SRS2153429,SAMN06314526,SRA557924,RNA-Seq,RANDOM,TRANSCRIPTOMIC,,JGI,0,0,3993290,6314526,,,,PCC 7942,,,,True,True,True,False,False
SRX2769888,2017-04-29 11:30:14,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina Genome Analyzer IIx,SRR5486987,SRP105449,PRJNA372989,372989,SRS2153429,SAMN06314526,SRA557924,RNA-Seq,RANDOM,TRANSCRIPTOMIC,,JGI,0,0,3993291,6314526,,,,PCC 7942,,,,True,True,True,False,False
SRX2769889,2017-04-29 11:26:14,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina Genome Analyzer IIx,SRR5486988,SRP105449,PRJNA372989,372989,SRS2153429,SAMN06314526,SRA557924,RNA-Seq,RANDOM,TRANSCRIPTOMIC,,JGI,0,0,3993292,6314526,,,,PCC 7942,,,,True,True,True,False,False
SRX2769890,2017-04-29 11:28:14,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina Genome Analyzer IIx,SRR5486989,SRP105449,PRJNA372989,372989,SRS2153429,SAMN06314526,SRA557924,RNA-Seq,RANDOM,TRANSCRIPTOMIC,,JGI,0,0,3993293,6314526,,,,PCC 7942,,,,True,True,True,False,False
