Gene Name	Accession-1	Left-End-Position	Right-End-Position	Product	Genes in same transcription unit	Object_ID	Accession-2
lpxD		1502325	1503392	UDP-3-O-(3-hydroxymyristoyl) glucosamine N-acyltransferase	lpxD	SYNPCC7942_1449	SYNPCC7942_RS07415
SYNPCC7942_1564		1621903	1622220	conserved hypothetical protein	SYNPCC7942_1564	SYNPCC7942_1564	SYNPCC7942_RS07985
SYNPCC7942_0481		465713	466828	protease	SYNPCC7942_0481	SYNPCC7942_0481	SYNPCC7942_RS02450
pilA1		48927	49361	pilin polypeptide PilA-like	pilA1	SYNPCC7942_0048	
SYNPCC7942_2485		2566135	2566728	hypothetical protein	SYNPCC7942_2486 // SYNPCC7942_2485	SYNPCC7942_2485	
sfsA		2109423	2110133	sugar fermentation stimulation protein	sfsA	SYNPCC7942_2040	SYNPCC7942_RS10350
SYNPCC7942_0581		562634	562981	conserved hypothetical protein	SYNPCC7942_0582 // SYNPCC7942_0581	SYNPCC7942_0581	SYNPCC7942_RS02955
ctaB		2681983	2682813	protoheme IX farnesyltransferase	ctaB	SYNPCC7942_2600	SYNPCC7942_RS13245
nrdJ		1675456	1678869	ribonucleoside-diphosphate reductase	nrdJ	SYNPCC7942_1609	SYNPCC7942_RS08210
SYNPCC7942_1511		1561467	1561904	conserved hypothetical protein	zds1 // SYNPCC7942_1511	SYNPCC7942_1511	SYNPCC7942_RS07725
ccmN		1477713	1478198	carbon dioxide concentrating mechanism protein	ccmN // ccmM	SYNPCC7942_1424	SYNPCC7942_RS07285
SYNPCC7942_2435		2508185	2508805	conserved hypothetical protein	SYNPCC7942_2435 // ilvN // SYNPCC7942_2433 // SYNPCC7942_2432	SYNPCC7942_2435	SYNPCC7942_RS12370
psbK		445209	445346	PsbK	psbK	SYNPCC7942_0456	
truA		2285533	2286417	tRNA pseudouridine synthase A	rpoA // rplQ // truA // rplM // rpsI // rpmE	SYNPCC7942_2207	SYNPCC7942_RS11215
SYNPCC7942_0547		530057	530566	conserved hypothetical protein	SYNPCC7942_0547	SYNPCC7942_0547	SYNPCC7942_RS02785
coaD		2075281	2075781	Coenzyme A biosynthesis protein	coaD // cdv3	SYNPCC7942_2007	SYNPCC7942_RS10180
SYNPCC7942_1472		1523256	1523642	conserved hypothetical protein	mnhC // mnhD // SYNPCC7942_1472 // SYNPCC7942_1471 // SYNPCC7942_1470 // mnhB2 // mnhB1	SYNPCC7942_1472	SYNPCC7942_RS07525
mrcA4		2650102	2651979	Penicillin-binding protein 1A	mrcA4	SYNPCC7942_2571	SYNPCC7942_RS13065
mpg		664540	665124	DNA-3-methyladenine glycosylase	SYNPCC7942_0671 // pyrB // mpg	SYNPCC7942_0669	SYNPCC7942_RS03425
SYNPCC7942_2402		2476025	2477155	conserved hypothetical protein	SYNPCC7942_2402	SYNPCC7942_2402	SYNPCC7942_RS12205
SYNPCC7942_1393		1442504	1443418	histone deacetylase/AcuC/AphA family protein-like	SYNPCC7942_1393	SYNPCC7942_1393	SYNPCC7942_RS07130
SYNPCC7942_0518		504393	505556	conserved hypothetical protein	SYNPCC7942_0518	SYNPCC7942_0518	SYNPCC7942_RS02630
SYNPCC7942_0427		416103	416951	ATPase	leuA1 // SYNPCC7942_0427 // scpB	SYNPCC7942_0427	SYNPCC7942_RS02180
cheA		1025629	1028415	CheA signal transduction histidine kinases	cheW // mcpA // cheA // SYNPCC7942_1013	SYNPCC7942_1014	SYNPCC7942_RS05210
ccmJ		1471980	1472186	hypothetical carboxysomal shell polypeptide	ccmJ	SYNPCC7942_1418	SYNPCC7942_RS07255
trx3		2049645	2049980	thioredoxin	SYNPCC7942_1979 // trx3	SYNPCC7942_1978	SYNPCC7942_RS10030
SYNPCC7942_2363		2429771	2430142	conserved hypothetical protein	SYNPCC7942_2364 // SYNPCC7942_2363	SYNPCC7942_2363	SYNPCC7942_RS12005
aspC		2624982	2626160	aspartate aminotransferase	aspC	SYNPCC7942_2545	SYNPCC7942_RS12930
cobK		21134	21874	precorrin-6x reductase	cax // SYNPCC7942_0022 // cobK	SYNPCC7942_0021	SYNPCC7942_RS00110
SYNPCC7942_0132		132721	133770	conserved hypothetical protein	SYNPCC7942_0132	SYNPCC7942_0132	SYNPCC7942_RS00670
corA		1408205	1409368	magnesium and cobalt transport protein CorA	corA	SYNPCC7942_1371	SYNPCC7942_RS07015
clpS2		460552	460962	ClpS2 adaptor protein	clpS2	SYNPCC7942_0476	
moeB		385350	386528	molybdopterin synthase adenylase	moeB	SYNPCC7942_0392	SYNPCC7942_RS02000
SYNPCC7942_1586		1651359	1652669	periplasmic sensor signal transduction histidine kinase	SYNPCC7942_1586	SYNPCC7942_1586	SYNPCC7942_RS08100
SYNPCC7942_1376		1416706	1417302	hypothetical protein	SYNPCC7942_1376	SYNPCC7942_1376	
SYNPCC7942_1957		2029234	2029671	cyclic nucleotide-binding domain (cNMP-BD) protein	SYNPCC7942_1957	SYNPCC7942_1957	SYNPCC7942_RS09930
SYNPCC7942_2300		2369910	2370404	conserved hypothetical protein	SYNPCC7942_2300 // rpsO // SYNPCC7942_2298	SYNPCC7942_2300	SYNPCC7942_RS11690
gpsA		2604084	2605010	Glycerol-3-phosphate dehydrogenase (NAD(P)+)	gpsA	SYNPCC7942_2522	SYNPCC7942_RS12805
prxQ-A1		2259490	2259927	peroxiredoxin PrxQ-A1	prxQ-A1	SYNPCC7942_2180	SYNPCC7942_RS11080
SYNPCC7942_0087		84964	86475	conserved hypothetical protein	SYNPCC7942_0087 // glgX // SYNPCC7942_0085	SYNPCC7942_0087	SYNPCC7942_RS00430
ndhI		1378378	1378986	NADH-plastoquinone oxidoreductase, I subunit NADH-quinone oxidoreductase, chain I	ndhE // ndhG // ndhI // ndhA	SYNPCC7942_1344	SYNPCC7942_RS06870
SYNPCC7942_0433		423632	424840	conserved hypothetical protein	SYNPCC7942_0433	SYNPCC7942_0433	SYNPCC7942_RS02210
SYNPCC7942_0356		348922	349146	conserved hypothetical protein YCF33	SYNPCC7942_0356	SYNPCC7942_0356	SYNPCC7942_RS01810
SYNPCC7942_0640		632225	633991	ATPase	SYNPCC7942_0640	SYNPCC7942_0640	SYNPCC7942_RS03285
SYNPCC7942_1336		1367261	1368343	conserved hypothetical protein	SYNPCC7942_1336	SYNPCC7942_1336	SYNPCC7942_RS06830
dapF		2001982	2002824	diaminopimelate epimerase	SYNPCC7942_1928 // dapF	SYNPCC7942_1927	SYNPCC7942_RS09780
SYNPCC7942_2262		2329787	2331196	conserved hypothetical protein	hisS1 // SYNPCC7942_2262 // cutA	SYNPCC7942_2262	SYNPCC7942_RS11495
SYNPCC7942_2498		2578471	2579715	Band 7 protein	SYNPCC7942_2500 // SYNPCC7942_2499 // SYNPCC7942_2498	SYNPCC7942_2498	SYNPCC7942_RS12675
cobP		997912	998454	bifunctional cobalamin biosynthesis protein CobP	SYNPCC7942_0991 // cobP	SYNPCC7942_0990	SYNPCC7942_RS05085
SYNPCC7942_0044		41495	43477	conserved hypothetical protein	SYNPCC7942_0044	SYNPCC7942_0044	SYNPCC7942_RS00220
mntA1		1347173	1347910	ATPase	mntB1 // mntA1	SYNPCC7942_1317	SYNPCC7942_RS06735
SYNPCC7942_0406		399953	400354	conserved hypothetical protein	SYNPCC7942_0406	SYNPCC7942_0406	SYNPCC7942_RS02070
atpF		329764	330279	ATP synthase Fo, b subunit	atpH // atpF	SYNPCC7942_0334	SYNPCC7942_RS01700
SYNPCC7942_1563		1621096	1621512	signal transduction inhibitor	SYNPCC7942_1563	SYNPCC7942_1563	SYNPCC7942_RS07980
SYNPCC7942_1281		1303144	1303836	conserved hypothetical protein	SYNPCC7942_1281 // SYNPCC7942_1280 // SYNPCC7942_1279 // rpmI	SYNPCC7942_1281	SYNPCC7942_RS06560
SYNPCC7942_1902		1975932	1976978	putative glycosyltransferase	SYNPCC7942_1904 // SYNPCC7942_1903 // SYNPCC7942_1902	SYNPCC7942_1902	SYNPCC7942_RS09645
SYNPCC7942_1275		1299187	1300350	conserved hypothetical protein	rplT // SYNPCC7942_1276 // SYNPCC7942_1275 // SYNPCC7942_1274	SYNPCC7942_1275	SYNPCC7942_RS06530
dnaK2		2548622	2550526	Heat shock protein Hsp70-2	dnaK2	SYNPCC7942_2468	SYNPCC7942_RS12545
trpB		2226908	2228170	tryptophan synthase, beta subunit	trpB	SYNPCC7942_2143	SYNPCC7942_RS10880
SYNPCC7942_2185		2263403	2263807	conserved hypothetical protein	SYNPCC7942_2185	SYNPCC7942_2185	SYNPCC7942_RS11105
SYNPCC7942_1294		1318734	1320302	serine/threonine protein kinase	SYNPCC7942_1294	SYNPCC7942_1294	SYNPCC7942_RS06620
SYNPCC7942_0006		7779	8192	hypothetical protein	SYNPCC7942_0008 // SYNPCC7942_0007 // SYNPCC7942_0006	SYNPCC7942_0006	SYNPCC7942_RS00030
SYNPCC7942_0312		311280	311708	Protein of unknown function UPF0102	SYNPCC7942_0312 // ksgA // ispE	SYNPCC7942_0312	SYNPCC7942_RS01590
ahcY		607820	609100	adenosylhomocysteinase	ahcY	SYNPCC7942_0618	SYNPCC7942_RS03170
SYNPCC7942_0364		355865	356416	hypothetical protein	SYNPCC7942_0364	SYNPCC7942_0364	SYNPCC7942_RS01855
moxR		1951649	1952587	MoxR protein-like	moxR // SYNPCC7942_1878 // SYNPCC7942_1877	SYNPCC7942_1879	SYNPCC7942_RS09530
SYNPCC7942_1210		1235233	1235481	conserved hypothetical protein	SYNPCC7942_1212 // mobA2 // SYNPCC7942_1210 // SYNPCC7942_1209	SYNPCC7942_1210	SYNPCC7942_RS06195
map		2523086	2523919	methionine aminopeptidase, type I	map	SYNPCC7942_2446	SYNPCC7942_RS12430
SYNPCC7942_0965		972388	973350	ammonium transporter protein Amt1-like	SYNPCC7942_0965 // SYNPCC7942_0964	SYNPCC7942_0965	SYNPCC7942_RS04960
SYNPCC7942_2159		2241719	2242651	conserved hypothetical protein	SYNPCC7942_2159	SYNPCC7942_2159	SYNPCC7942_RS10970
SYNPCC7942_1273		1296812	1298347	Protein of unknown function UPF0031	SYNPCC7942_1273	SYNPCC7942_1273	SYNPCC7942_RS06520
SYNPCC7942_0317		314897	315355	conserved hypothetical protein	SYNPCC7942_0317	SYNPCC7942_0317	SYNPCC7942_RS01615
secA		284148	286994	preprotein translocase, SecA subunit	pyrD // secA	SYNPCC7942_0289	SYNPCC7942_RS01470
rbcX		1595486	1595944	possible Rubisco chaperonin	SYNPCC7942_1536 // rbcX	SYNPCC7942_1535	SYNPCC7942_RS07845
SYNPCC7942_1165		1198844	1199239	hypothetical protein	SYNPCC7942_1165	SYNPCC7942_1165	SYNPCC7942_RS05975
cobB		1923883	1925253	cobyrinic acid a,c-diamide synthase	cobB // cobJ // cobI // cobH // cobG	SYNPCC7942_1855	SYNPCC7942_RS09410
SYNPCC7942_2125		2206002	2206403	conserved hypothetical protein	SYNPCC7942_2125	SYNPCC7942_2125	SYNPCC7942_RS10775
petM		2498780	2498893	PetM	petM	SYNPCC7942_2426	SYNPCC7942_RS12325
trmH1		2200097	2201656	RNA methyltransferase TrmH, group 3	trmH1	SYNPCC7942_2119	SYNPCC7942_RS10745
SYNPCC7942_0265		262385	262660	conserved hypothetical protein	SYNPCC7942_0265	SYNPCC7942_0265	SYNPCC7942_RS01350
psaJ		1273621	1273755	PsaJ	psaF // psaJ	SYNPCC7942_1249	SYNPCC7942_RS06400
SYNPCC7942_1141		1166126	1166812	conserved hypothetical protein	SYNPCC7942_1141 // SYNPCC7942_1140	SYNPCC7942_1141	SYNPCC7942_RS05840
rsmG		263757	264485	Ribosomal RNA small subunit methyltransferase G	rsmG	SYNPCC7942_0267	SYNPCC7942_RS01360
SYNPCC7942_0591		578972	579298	membrane protein-like	SYNPCC7942_0591 // SYNPCC7942_0590	SYNPCC7942_0591	SYNPCC7942_RS03030
cdv2		2136697	2137272	Cdv2	cdv2	SYNPCC7942_2059	SYNPCC7942_RS10445
PgsA		1895707	1896225	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase	PgsA	SYNPCC7942_1825	SYNPCC7942_RS09260
SYNPCC7942_0223		223395	223805	hypothetical protein	psbN // SYNPCC7942_0223	SYNPCC7942_0223	SYNPCC7942_RS01135
gltX2		2467688	2469133	glutamyl-tRNA synthetase	gltX2	SYNPCC7942_2393	SYNPCC7942_RS12160
argD2		950237	951505	acetylornithine aminotransferase	folC // argD2	SYNPCC7942_0943	SYNPCC7942_RS04850
SYNPCC7942_1095		1112853	1113278	conserved hypothetical protein	SYNPCC7942_1095	SYNPCC7942_1095	SYNPCC7942_RS05620
radC		1248593	1249327	DNA repair protein RadC	radC	SYNPCC7942_1227	SYNPCC7942_RS06290
SYNPCC7942_2021		2090088	2090381	conserved hypothetical protein	nusA // SYNPCC7942_2021	SYNPCC7942_2021	SYNPCC7942_RS10255
gap1		241168	242229	glyceraldehyde-3-phosphate dehydrogenase, NAD+-dependent	gap1 // glg	SYNPCC7942_0245	SYNPCC7942_RS01250
pgam2		1566324	1566971	phosphoglycerate mutase	pgam2	SYNPCC7942_1516	SYNPCC7942_RS07750
SYNPCC7942_0183		181078	181467	conserved hypothetical protein	SYNPCC7942_0184 // SYNPCC7942_0183	SYNPCC7942_0183	SYNPCC7942_RS00930
SYNPCC7942_1802		1871523	1873145	response regulator receiver domain protein (CheY-like)	SYNPCC7942_1802	SYNPCC7942_1802	SYNPCC7942_RS09155
SYNPCC7942_1062		1073253	1073480	conserved hypothetical protein	SYNPCC7942_1063 // SYNPCC7942_1062 // SYNPCC7942_1061	SYNPCC7942_1062	SYNPCC7942_RS05450
acrF		2435041	2438211	multidrug efflux transport	SYNPCC7942_2370 // acrF // hlyD3	SYNPCC7942_2369	SYNPCC7942_RS12040
SYNPCC7942_2096		2177467	2179461	diguanylate cyclase (GGDEF domain)	SYNPCC7942_2096	SYNPCC7942_2096	SYNPCC7942_RS10625
SYNPCC7942_1985		2055445	2056338	conserved hypothetical protein	pqqL // SYNPCC7942_1985	SYNPCC7942_1985	SYNPCC7942_RS10065
minD		906832	907638	septum site-determining protein MinD	tRNA-Thr1 // petF2 // minE // minD	SYNPCC7942_0896	SYNPCC7942_RS04615
SYNPCC7942_0154		156340	156957	hypothetical protein	SYNPCC7942_0155 // SYNPCC7942_0154	SYNPCC7942_0154	SYNPCC7942_RS00780
