,ReleaseDate,TaxID,ScientificName,species_tax_id,class_tax_id,strain_tax_id,species,LibraryLayout,Platform,Model,Run,SRAStudy,BioProject,ProjectID,Sample,BioSample,Submission,LibraryStrategy,LibrarySelection,LibrarySource,Body_Site,CenterName,InsertSize,InsertDev,SRA ID,Biosample,GEO Series,GEO Sample,PMID,biosample_strain,biosample_genotype,project,condition,ref_condition,post_induction_time,replicate_id,sample,strain_description,media,carbon_ml/min,carbon_source,nitrogen_source,inducer_agent,aerobicity,inoculation,supplement,temperature,pH,growth_phase,entraintment,post_entraintment_condition,OD_wavelength,OD,fluorescent light,light_flux_umol/m2s,light_flux_mol/m2s,light_intensity,passed_fastqc,passed_reads_mapped_to_CDS,passed_global_correlation,passed_global_correlation.1,Source,full_name,passed_similar_replicates
SRX359376,2013-12-04 16:41:15,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRR1001860,SRP030395,PRJNA221220,221220,SRS487011,SAMN02362694,SRA103947,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,508553,2362694,GSE51112,GSM1238992,24315105,EOC346,,clock,kaiBC-_IPTG_06h,wt_24h,6h,,clock_kaiBC-_IPTG_06h_,,,,,,,,,,,,,,,,,,,,,True,True,True,,,clock:kaiBC-_IPTG_06h,False
SRX359377,2013-12-04 16:41:15,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRR1001861,SRP030395,PRJNA221220,221220,SRS487012,SAMN02362686,SRA103947,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,508554,2362686,GSE51112,GSM1238993,24315105,EOC346,,clock,kaiBC-_IPTG_12h,wt_24h,12h,,clock_kaiBC-_IPTG_12h_,,,,,,,,,,,,,,,,,,,,,True,True,True,,,clock:kaiBC-_IPTG_12h,False
SRX359378,2013-12-04 16:41:15,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRR1001862,SRP030395,PRJNA221220,221220,SRS487013,SAMN02362685,SRA103947,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,508555,2362685,GSE51112,GSM1238994,24315105,EOC346,,clock,kaiBC-_00h,wt_24h,0h,,clock_kaiBC-_00h_,,,,,,,,,,,,,,,,,,,,,True,True,True,,,clock:kaiBC-_00h,False
SRX359379,2013-12-04 16:41:15,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRR1001863,SRP030395,PRJNA221220,221220,SRS487014,SAMN02362693,SRA103947,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,508556,2362693,GSE51112,GSM1238995,24315105,EOC346,,clock,kaiBC-_03h,wt_24h,3h,,clock_kaiBC-_03h_,,,,,,,,,,,,,,,,,,,,,True,True,True,,,clock:kaiBC-_03h,False
SRX359380,2013-12-04 16:41:15,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRR1001864,SRP030395,PRJNA221220,221220,SRS487015,SAMN02362689,SRA103947,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,508557,2362689,GSE51112,GSM1238996,24315105,EOC346,,clock,kaiBC-_12h,wt_24h,12h,,clock_kaiBC-_12h_,,,,,,,,,,,,,,,,,,,,,True,True,True,,,clock:kaiBC-_12h,False
SRX359381,2013-12-04 16:41:15,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRR1001865,SRP030395,PRJNA221220,221220,SRS487016,SAMN02362684,SRA103947,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,508558,2362684,GSE51112,GSM1238997,24315105,EOC339,,clock,empty_IPTG_00h,wt_24h,0h,,clock_empty_IPTG_00h_,,,,,,,,,,,,,,,,,,,,,True,True,True,,,clock:empty_IPTG_00h,False
SRX359382,2013-12-04 16:41:15,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRR1001866,SRP030395,PRJNA221220,221220,SRS487017,SAMN02362696,SRA103947,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,508559,2362696,GSE51112,GSM1238998,24315105,EOC339,,clock,empty_IPTG_3h,wt_24h,3h,,clock_empty_IPTG_3h_,,,,,,,,,,,,,,,,,,,,,True,True,True,,,clock:empty_IPTG_3h,False
SRX359383,2013-12-04 16:41:15,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRR1001867,SRP030395,PRJNA221220,221220,SRS487018,SAMN02362690,SRA103947,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,508560,2362690,GSE51112,GSM1238999,24315105,EOC339,,clock,empty_IPTG_12h,wt_24h,12h,,clock_empty_IPTG_12h_,,,,,,,,,,,,,,,,,,,,,True,True,True,,,clock:empty_IPTG_12h,False
SRX3172761,2017-12-15 12:47:07,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR6021718,SRP117169,PRJNA403840,403840,SRS2502705,SAMN07625319,SRA606632,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,4474380,7625319,GSE103644,GSM2777217,,PCC 7942,wild type + relA+,ppGpp,2wt_relA+_dusk_000_theo,0wt_dawn_000,0m,,ppGpp_2wt_relA+_dusk_000_theo_,wild type + relA+,BG-11,,,,theophylline,aerobic,,,30 C,,,two cycles dark/light/dark,constant light; harvested at dawn and dusk,750,0.015,cool,40,4E-05,40 _moles photons m-2 s-1,True,True,True,,https://www.cell.com/cell-reports/comments/S2211-1247(17)31719-9,ppGpp:2wt_relA+_dusk_000_theo,False
SRX3172762,2017-12-15 12:47:07,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR6021719,SRP117169,PRJNA403840,403840,SRS2502706,SAMN07625350,SRA606632,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,4474381,7625350,GSE103644,GSM2777218,,PCC 7942,wild type + relA+,ppGpp,2wt_relA+_dusk_030_theo,0wt_dawn_000,30m,,ppGpp_2wt_relA+_dusk_030_theo_,wild type + relA+,BG-11,,,,theophylline,aerobic,,,30 C,,,two cycles dark/light/dark,constant light; harvested at dawn and dusk,750,0.015,cool,40,4E-05,40 _moles photons m-2 s-1,True,True,True,,https://www.cell.com/cell-reports/comments/S2211-1247(17)31719-9,ppGpp:2wt_relA+_dusk_030_theo,False
SRX3172763,2017-12-15 12:47:07,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR6021720,SRP117169,PRJNA403840,403840,SRS2502707,SAMN07625349,SRA606632,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,4474382,7625349,GSE103644,GSM2777219,,PCC 7942,wild type + relA+,ppGpp,2wt_relA+_dusk_060_theo,0wt_dawn_000,1h,,ppGpp_2wt_relA+_dusk_060_theo_,wild type + relA+,BG-11,,,,theophylline,aerobic,,,30 C,,,two cycles dark/light/dark,constant light; harvested at dawn and dusk,750,0.015,cool,40,4E-05,40 _moles photons m-2 s-1,True,True,True,,https://www.cell.com/cell-reports/comments/S2211-1247(17)31719-9,ppGpp:2wt_relA+_dusk_060_theo,False
SRX3172764,2017-12-15 12:47:07,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR6021721,SRP117169,PRJNA403840,403840,SRS2502708,SAMN07625348,SRA606632,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,4474383,7625348,GSE103644,GSM2777220,,PCC 7942,wild type + relAE335Q,ppGpp,3wt_relA-_dusk_000_theo,0wt_dawn_000,0m,,ppGpp_3wt_relA-_dusk_000_theo_,wild type + relAE335Q,BG-11,,,,theophylline,aerobic,,,30 C,,,two cycles dark/light/dark,constant light; harvested at dawn and dusk,750,0.015,cool,40,4E-05,40 _moles photons m-2 s-1,True,True,True,,https://www.cell.com/cell-reports/comments/S2211-1247(17)31719-9,ppGpp:3wt_relA-_dusk_000_theo,False
SRX3172765,2017-12-15 12:47:07,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR6021722,SRP117169,PRJNA403840,403840,SRS2502709,SAMN07625347,SRA606632,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,4474384,7625347,GSE103644,GSM2777221,,PCC 7942,wild type + relAE335Q,ppGpp,3wt_relA-_dusk_030_theo,0wt_dawn_000,30m,,ppGpp_3wt_relA-_dusk_030_theo_,wild type + relAE335Q,BG-11,,,,theophylline,aerobic,,,30 C,,,two cycles dark/light/dark,constant light; harvested at dawn and dusk,750,0.015,cool,40,4E-05,40 _moles photons m-2 s-1,True,True,True,,https://www.cell.com/cell-reports/comments/S2211-1247(17)31719-9,ppGpp:3wt_relA-_dusk_030_theo,False
SRX3172766,2017-12-15 12:47:07,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR6021723,SRP117169,PRJNA403840,403840,SRS2502710,SAMN07625346,SRA606632,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,4474385,7625346,GSE103644,GSM2777222,,PCC 7942,wild type + relAE335Q,ppGpp,3wt_relA-_dusk_060_theo,0wt_dawn_000,1h,,ppGpp_3wt_relA-_dusk_060_theo_,wild type + relAE335Q,BG-11,,,,theophylline,aerobic,,,30 C,,,two cycles dark/light/dark,constant light; harvested at dawn and dusk,750,0.015,cool,40,4E-05,40 _moles photons m-2 s-1,True,True,True,,https://www.cell.com/cell-reports/comments/S2211-1247(17)31719-9,ppGpp:3wt_relA-_dusk_060_theo,False
SRX2356912,2017-02-15 16:19:00,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR5031863,SRP093663,PRJNA354335,354335,SRS1805772,SAMN06033584,SRA495832,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,3439800,6033584,GSE89999,GSM2395359,28430105,PCC 7942,"""clock rescue""",rpaA,wt_1dusk_000,wt_1dusk_000,ZT = 12h,,rpaA_wt_1dusk_000_,"P0050::kaiBC (native locus, Kmr)",BG-11,,0.4% glucose,,IPTG,aerobic,kanamycin,0.4% (w/v) glucose,30 C,Not reported,Not reported,12 hr two dark/light/dark cycles,darkness,750,0.2,cool,40,4E-05,40 _E m-2 s-1 (moles photons m-2 s-1),True,True,True,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5400509/,rpaA:wt_1dusk_000,False
SRX2356914,2017-02-15 16:19:00,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR5031865,SRP093663,PRJNA354335,354335,SRS1805774,SAMN06033606,SRA495832,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,3439802,6033606,GSE89999,GSM2395361,28430105,PCC 7942,"""clock rescue""",rpaA,wt_2dark_015,wt_1dusk_000,15m post dusk,,rpaA_wt_2dark_015_,"P0050::kaiBC (native locus, Kmr)",BG-11,,0.4% glucose,,IPTG,aerobic,kanamycin,0.4% (w/v) glucose,30 C,Not reported,Not reported,12 hr two dark/light/dark cycles,darkness,750,0.2,cool,40,4E-05,40 _E m-2 s-1 (moles photons m-2 s-1),True,True,True,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5400509/,rpaA:wt_2dark_015,False
SRX2356915,2017-02-15 16:19:00,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR5031866,SRP093663,PRJNA354335,354335,SRS1805775,SAMN06033605,SRA495832,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,3439803,6033605,GSE89999,GSM2395362,28430105,PCC 7942,"""clock rescue""",rpaA,wt_2dark_030,wt_1dusk_000,30m post dusk,,rpaA_wt_2dark_030_,"P0050::kaiBC (native locus, Kmr)",BG-11,,0.4% glucose,,IPTG,aerobic,kanamycin,0.4% (w/v) glucose,30 C,Not reported,Not reported,12 hr two dark/light/dark cycles,darkness,750,0.2,cool,40,4E-05,40 _E m-2 s-1 (moles photons m-2 s-1),True,True,True,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5400509/,rpaA:wt_2dark_030,False
SRX2356921,2017-02-15 16:19:00,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR5031872,SRP093663,PRJNA354335,354335,SRS1805781,SAMN06033599,SRA495832,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,3439809,6033599,GSE89999,GSM2395368,28430105,PCC 7942,"""clock rescue""",rpaA,wt_3dawn_005,wt_1dusk_000,5m post dawn,,rpaA_wt_3dawn_005_,"P0050::kaiBC (native locus, Kmr)",BG-11,,0.4% glucose,,IPTG,aerobic,kanamycin,0.4% (w/v) glucose,30 C,Not reported,Not reported,12 hr two dark/light/dark cycles,darkness,750,0.2,cool,40,4E-05,40 _E m-2 s-1 (moles photons m-2 s-1),True,True,True,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5400509/,rpaA:wt_3dawn_005,False
SRX2356922,2017-02-15 16:19:00,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR5031873,SRP093663,PRJNA354335,354335,SRS1805782,SAMN06033598,SRA495832,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,3439810,6033598,GSE89999,GSM2395369,28430105,PCC 7942,"""clock rescue""",rpaA,wt_3dawn_015,wt_1dusk_000,15m post dawn,,rpaA_wt_3dawn_015_,"P0050::kaiBC (native locus, Kmr)",BG-11,,0.4% glucose,,IPTG,aerobic,kanamycin,0.4% (w/v) glucose,30 C,Not reported,Not reported,12 hr two dark/light/dark cycles,darkness,750,0.2,cool,40,4E-05,40 _E m-2 s-1 (moles photons m-2 s-1),True,True,True,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5400509/,rpaA:wt_3dawn_015,False
SRX2356923,2017-02-15 16:19:00,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR5031874,SRP093663,PRJNA354335,354335,SRS1805783,SAMN06033597,SRA495832,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,3439811,6033597,GSE89999,GSM2395370,28430105,PCC 7942,"""clock rescue""",rpaA,wt_3dawn_030,wt_1dusk_000,30m post dawn,,rpaA_wt_3dawn_030_,"P0050::kaiBC (native locus, Kmr)",BG-11,,0.4% glucose,,IPTG,aerobic,kanamycin,0.4% (w/v) glucose,30 C,Not reported,Not reported,12 hr two dark/light/dark cycles,darkness,750,0.2,cool,40,4E-05,40 _E m-2 s-1 (moles photons m-2 s-1),True,True,True,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5400509/,rpaA:wt_3dawn_030,False
SRX2356924,2017-02-15 16:19:00,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR5031875,SRP093663,PRJNA354335,354335,SRS1805784,SAMN06033596,SRA495832,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,3439812,6033596,GSE89999,GSM2395371,28430105,PCC 7942,"rpaA- ""clock rescue""",rpaA,del_1dusk_000,wt_1dusk_000,ZT = 12h,,rpaA_del_1dusk_000_,"rpaA(Gmr),P0050::kaiBC (native locus, Kmr)",BG-11,,0.4% glucose,,IPTG,aerobic,Gentamycin; kanamycin,0.4% (w/v) glucose,30 C,Not reported,Not reported,12 hr one light/dark cycles,darkness,750,0.2,cool,40,4E-05,40 _E m-2 s-1 (moles photons m-2 s-1),True,True,True,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5400509/,rpaA:del_1dusk_000,False
SRX2356925,2017-02-15 16:19:00,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR5031876,SRP093663,PRJNA354335,354335,SRS1805785,SAMN06033595,SRA495832,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,3439813,6033595,GSE89999,GSM2395372,28430105,PCC 7942,"rpaA- ""clock rescue""",rpaA,del_2dark_005,wt_1dusk_000,5m post dusk,,rpaA_del_2dark_005_,"rpaA(Gmr),P0050::kaiBC (native locus, Kmr)",BG-11,,0.4% glucose,,IPTG,aerobic,Gentamycin; kanamycin,0.4% (w/v) glucose,30 C,Not reported,Not reported,12 hr one light/dark cycles,darkness,750,0.2,cool,40,4E-05,40 _E m-2 s-1 (moles photons m-2 s-1),True,True,True,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5400509/,rpaA:del_2dark_005,False
SRX2356926,2017-02-15 16:19:00,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR5031877,SRP093663,PRJNA354335,354335,SRS1805786,SAMN06033594,SRA495832,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,3439814,6033594,GSE89999,GSM2395373,28430105,PCC 7942,"rpaA- ""clock rescue""",rpaA,del_2dark_015,wt_1dusk_000,15m post dusk,,rpaA_del_2dark_015_,"rpaA(Gmr),P0050::kaiBC (native locus, Kmr)",BG-11,,0.4% glucose,,IPTG,aerobic,Gentamycin; kanamycin,0.4% (w/v) glucose,30 C,Not reported,Not reported,12 hr one light/dark cycles,darkness,750,0.2,cool,40,4E-05,40 _E m-2 s-1 (moles photons m-2 s-1),True,True,True,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5400509/,rpaA:del_2dark_015,False
SRX2356927,2017-02-15 16:19:00,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR5031878,SRP093663,PRJNA354335,354335,SRS1805787,SAMN06033593,SRA495832,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,3439815,6033593,GSE89999,GSM2395374,28430105,PCC 7942,"rpaA- ""clock rescue""",rpaA,del_2dark_030,wt_1dusk_000,30m post dusk,,rpaA_del_2dark_030_,"rpaA(Gmr),P0050::kaiBC (native locus, Kmr)",BG-11,,0.4% glucose,,IPTG,aerobic,Gentamycin; kanamycin,0.4% (w/v) glucose,30 C,Not reported,Not reported,12 hr one light/dark cycles,darkness,750,0.2,cool,40,4E-05,40 _E m-2 s-1 (moles photons m-2 s-1),True,True,True,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5400509/,rpaA:del_2dark_030,False
SRX2356928,2017-02-15 16:19:01,1140,Synechococcus elongatus PCC 7942 = FACHB-805,32046,1117,1140,Synechococcus elongatus,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRR5031879,SRP093663,PRJNA354335,354335,SRS1805788,SAMN06033592,SRA495832,RNA-Seq,cDNA,TRANSCRIPTOMIC,,GEO,0,0,3439816,6033592,GSE89999,GSM2395375,28430105,PCC 7942,"rpaA- ""clock rescue""",rpaA,del_2dark_060,wt_1dusk_000,1h post dusk,,rpaA_del_2dark_060_,"rpaA(Gmr),P0050::kaiBC (native locus, Kmr)",BG-11,,0.4% glucose,,IPTG,aerobic,Gentamycin; kanamycin,0.4% (w/v) glucose,30 C,Not reported,Not reported,12 hr one light/dark cycles,darkness,750,0.2,cool,40,4E-05,40 _E m-2 s-1 (moles photons m-2 s-1),True,True,True,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5400509/,rpaA:del_2dark_060,False
